,ID Paper,Title,Year,Domain,Process lifecycle phase,Modelling language,Modelling language type,Logistics coverage,challenge,Technology of event producer,Focus,ContributionType,Event processing Language,Event Processing Language Style,Logistic Sector,State-framework-tool-architecture
0,0,Model-Based Verification of Event-Driven Business Processes,2015,food,process analysis,"BPMN, Petri Nets",imperative,motivating/running example,automatic event-based monitoring of processes,undetermined,Verification technique for event-driven business processes,method,undetermined,N/A,General Transport;Foodstuffs,n/a
1,4,The Butterfly: An Intelligent Framework for Violation Prediction within Business Processes,2016,port;transport,process analysis;process monitoring,undetermined,imperative,motivating/running example,automatic event-based monitoring of processes,GPS;temperature sensors,"Monitoring and violation prediction
",architecture;framework,undetermined,N/A,Maritime Transport;General Transport,Research only
2,6,Business Activity Management for Service Networks in Cloud Environments,2011,port;airport,process monitoring,undetermined,undetermined,general mention in the paper,choreographies&inter-process correlation;integrated platforms for BPM & CEP,undetermined,Choreography,architecture,Aleri SQL,Data stream query language,Air Transport;Maritime Transport,Combination of commercial tools
3,10,Detecting EPCIS Exceptions in Linked Traceability Streams across Supply Chain Business Processes,2014,pharmacy,process monitoring,undetermined,undetermined,use case,event models for BPM,RFID,A methodology for detecting exceptions arising during the processing of EPCIS event datasets,language;model,SPARQL,Hybrid,Chemical and pharmaceuticals,n/a
4,18,The Pragmatics of Event-Driven Business Processes,2011,multimodal,process identification,"EPC (Event Driven Process Chain), BPEL",imperative,motivating/running example,integrated platforms for BPM & CEP,EPCIS standard,A design method for event driven business processes based on an integrative event ontology.,method,ECA rules,Based on composition operators,Multimodal Transport,n/a
5,97,Applying Complex Event Processing towards Monitoring of Multi-party Contracts and Services for Logistics -- A Discussion,2012,undetermined,process monitoring,undetermined,undetermined,general mention in the paper,choreographies&inter-process correlation;from event streams to process models and back,undetermined,Monitoring and compliance of multi-party logistics processes,other,undetermined,N/A,General Transport,n/a
6,98,Location Based Logistics Services and Event Driven Business Process Management,2009,port;transport,process monitoring,undetermined,undetermined,motivating/running example,context in events and processes,GPS,Ed-BMP + LBS in logistics,architecture;method,undetermined,N/A,Maritime Transport;General Transport,Conceptual
7,100,Monitoring of Business Processes with Complex Event Processing,2014,port;transport,process monitoring,BPMN,imperative,motivating/running example,integrated platforms for BPM & CEP;(highly) distributed processes & the role of events,undetermined,Implementation of a platform for monitoring CEP and BPM,architecture,EPL (Esper Event Processing Language),Hybrid,Maritime Transport;General Transport,Research only
8,101,Towards the Enhancement of Business Process Monitoring for Complex Logistics Chains,2014,multimodal,process monitoring,BPMN,imperative,use case,automatic event-based monitoring of processes,GPS;RFID;public APIs for traffic,Challenges in BPM + CEP for logistics contexts,other,undetermined,N/A,Multimodal Transport,n/a
9,102,Auto-Triggering of RFID-based Logistic Process in Inter-workflow Using Complex Event,2011,undetermined,process monitoring,WPDL (Workflow Process Definition Language),imperative,motivating/running example,choreographies&inter-process correlation,RFID,BPM + RFID to connect multiple organizations inter-worflows,method,ECA rules,Based on composition operators,Undetermined,n/a
10,103,Adaptive RBAC in Complex Event-Driven BPM Systems,2011,retail,process monitoring,WPDL (Workflow Process Definition Language),imperative,motivating/running example,compliance& audit& privacy& security,undetermined,To develop an adaptive user assignment using Role Based Access Control in complex-event-driven systems,method,ECA rules,Based on composition operators,Retail,n/a
11,104,An Event-Driven System for Business Awareness Management in the Logistics Domain,2013,parcel delivery,process monitoring,SAN (Situation-Action-Network),declarative,motivating/running example,automatic event-based monitoring of processes,undetermined,Business Awareness Management,framework,ETALIS Language for Events,Logic languages,Transshipment,No sources provided
12,106,Towards Real-Time Data Acquisition for Simulation of Logistics Service Systems,2013,port;transport,process analysis,BPMN,imperative,use case,choreographies&inter-process correlation,others,4 party logistics environment,method,undetermined,N/A,Maritime Transport;General Transport,n/a
13,107,A Framework for Integrating Real-World Events and Business Processes in an IoT Environment,2017,port;transport,process implementation,BPMN,imperative,use case,event models for BPM;abstraction levels;integrated platforms for BPM & CEP,IoT,extend BPMN and integrate external events into processes,framework,EPL (Esper Event Processing Language),Hybrid,General Transport,Conceptual
14,108,autoCEP: Automatic Learning of Predictive Rules for Complex Event Processing,2016,port;transport,process monitoring,undetermined,undetermined,motivating/running example,automatic event-based monitoring of processes,others,Rule learning,framework,undetermined,N/A,Maritime Transport;General Transport,Research only
15,109,edUFlow: An Event-Driven Ubiquitous Flow Management System,2012,manufacturing,process monitoring,undetermined,undetermined,motivating/running example,integrated platforms for BPM & CEP,RFID,Ubiquitous complex event processing,framework,EPL (Esper Event Processing Language),Hybrid,Manufacturing (general),No sources provided
16,110,Prescriptive Control of Business Processes,2016,manufacturing,process monitoring,EPC (Event Driven Process Chain),imperative,use case,automatic event-based monitoring of processes;optimisation opportunities,IoT,A generic architecture for a prescriptive control of business processes by using event-based process predictions,architecture;other,undetermined,N/A,Manufacturing (general),Conceptual
17,112,Model-Driven Event Query Generation for Business Process Monitoring,2014,port;transport,process monitoring,BPMN,imperative,use case,integrated platforms for BPM & CEP,GPS,A model-driven approach to support the automated creation of CEP queries for process monitoring,method,EPL (Esper Event Processing Language),Hybrid,Maritime Transport;General Transport,n/a
18,113,Continuous Quality Improvement in Logistics Service Provisioning,2014,port;transport,process analysis;process monitoring,"BPMN, EPC (Event Driven Process Chain)",imperative,use case,automatic event-based monitoring of processes,undetermined,4 party logistics environment,method,undetermined,N/A,Air Transport;General Transport,n/a
